lyrics,song,album,artist,genre
Do unto others as they've done to you,fight fire with fire,ride the lightning,metallica,heavy metal
But what the hell is this world coming to?,fight fire with fire,ride the lightning,metallica,heavy metal
Blow the universe into nothingness,fight fire with fire,ride the lightning,metallica,heavy metal
Nuclear warfare shall lay us to rest,fight fire with fire,ride the lightning,metallica,heavy metal
Fight fire with fire,fight fire with fire,ride the lightning,metallica,heavy metal
Ending is near,fight fire with fire,ride the lightning,metallica,heavy metal
Fight fire with fire,fight fire with fire,ride the lightning,metallica,heavy metal
Bursting with fear,fight fire with fire,ride the lightning,metallica,heavy metal
We all shall die,fight fire with fire,ride the lightning,metallica,heavy metal
"Time is like a fuse, short and burning fast",fight fire with fire,ride the lightning,metallica,heavy metal
"Armageddon's here, like said in the past",fight fire with fire,ride the lightning,metallica,heavy metal
Fight fire with fire,fight fire with fire,ride the lightning,metallica,heavy metal
Ending is near,fight fire with fire,ride the lightning,metallica,heavy metal
Fight fire with fire,fight fire with fire,ride the lightning,metallica,heavy metal
Bursting with fear,fight fire with fire,ride the lightning,metallica,heavy metal
"Soon to fill our lungs, the hot winds of death",fight fire with fire,ride the lightning,metallica,heavy metal
"The gods are laughing, so take your last breath",fight fire with fire,ride the lightning,metallica,heavy metal
Fight fire with fire,fight fire with fire,ride the lightning,metallica,heavy metal
Ending is near,fight fire with fire,ride the lightning,metallica,heavy metal
Fight fire with fire,fight fire with fire,ride the lightning,metallica,heavy metal
Bursting with fear,fight fire with fire,ride the lightning,metallica,heavy metal
"Fight fire with fire, fight fire with fire",fight fire with fire,ride the lightning,metallica,heavy metal
"Fight fire with fire, fight fire with fire",fight fire with fire,ride the lightning,metallica,heavy metal
"Fight fire with fire, fight fire with fire",fight fire with fire,ride the lightning,metallica,heavy metal
"Fight fire with fire, fight fire with fire",fight fire with fire,ride the lightning,metallica,heavy metal
Fight,fight fire with fire,ride the lightning,metallica,heavy metal
"Guilty as charged but damn it, it ain't right",ride the lightning,ride the lightning,metallica,heavy metal
There's someone else controlling me,ride the lightning,ride the lightning,metallica,heavy metal
"Death in the air, strapped in the electric chair",ride the lightning,ride the lightning,metallica,heavy metal
This can't be happening to me,ride the lightning,ride the lightning,metallica,heavy metal
Who made you God to say,ride the lightning,ride the lightning,metallica,heavy metal
"""I'll take your life from you""?",ride the lightning,ride the lightning,metallica,heavy metal
Flash before my eyes,ride the lightning,ride the lightning,metallica,heavy metal
Now it's time to die,ride the lightning,ride the lightning,metallica,heavy metal
Burning in my brain,ride the lightning,ride the lightning,metallica,heavy metal
I can feel the flame,ride the lightning,ride the lightning,metallica,heavy metal
Wait for the sign to flick the switch of death,ride the lightning,ride the lightning,metallica,heavy metal
It's the beginning of the end,ride the lightning,ride the lightning,metallica,heavy metal
Sweat chilling cold as I watch death unfold,ride the lightning,ride the lightning,metallica,heavy metal
Consciousness my only friend,ride the lightning,ride the lightning,metallica,heavy metal
My fingers grip with fear,ride the lightning,ride the lightning,metallica,heavy metal
What am I doing here?,ride the lightning,ride the lightning,metallica,heavy metal
Flash before my eyes,ride the lightning,ride the lightning,metallica,heavy metal
Now it's time to die,ride the lightning,ride the lightning,metallica,heavy metal
Burning in my brain,ride the lightning,ride the lightning,metallica,heavy metal
I can feel the flame,ride the lightning,ride the lightning,metallica,heavy metal
"Someone help me, oh please God help me",ride the lightning,ride the lightning,metallica,heavy metal
They're trying to take it all away,ride the lightning,ride the lightning,metallica,heavy metal
I don't want to die,ride the lightning,ride the lightning,metallica,heavy metal
"Someone help me, oh please God help me",ride the lightning,ride the lightning,metallica,heavy metal
They're trying to take it all away,ride the lightning,ride the lightning,metallica,heavy metal
I don't want to die,ride the lightning,ride the lightning,metallica,heavy metal
"Time moving slow, the minutes seem like hours",ride the lightning,ride the lightning,metallica,heavy metal
The final curtain all I see,ride the lightning,ride the lightning,metallica,heavy metal
How true is this? Just get it over with,ride the lightning,ride the lightning,metallica,heavy metal
"If this is true, just let it be",ride the lightning,ride the lightning,metallica,heavy metal
Wakened by horrid scream,ride the lightning,ride the lightning,metallica,heavy metal
Freed from this frightening dream,ride the lightning,ride the lightning,metallica,heavy metal
Flash before my eyes,ride the lightning,ride the lightning,metallica,heavy metal
Now it's time to die,ride the lightning,ride the lightning,metallica,heavy metal
Burning in my brain,ride the lightning,ride the lightning,metallica,heavy metal
I can feel the flame,ride the lightning,ride the lightning,metallica,heavy metal
Make his fight on the hill in the early day,for whom the bell tolls,ride the lightning,metallica,heavy metal
Constant chill deep inside,for whom the bell tolls,ride the lightning,metallica,heavy metal
"Shouting gun, on they run through the endless grey",for whom the bell tolls,ride the lightning,metallica,heavy metal
"On they fight, for the right, yes, but who's to say?",for whom the bell tolls,ride the lightning,metallica,heavy metal
"For a hill, men would kill, why? They do not know",for whom the bell tolls,ride the lightning,metallica,heavy metal
Stiffened wounds test their pride,for whom the bell tolls,ride the lightning,metallica,heavy metal
"Men of five, still alive through the raging glow",for whom the bell tolls,ride the lightning,metallica,heavy metal
Gone insane from the pain that they surely know,for whom the bell tolls,ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls,ride the lightning,metallica,heavy metal
Time marches on,for whom the bell tolls,ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls,ride the lightning,metallica,heavy metal
Take a look to the sky just before you die,for whom the bell tolls,ride the lightning,metallica,heavy metal
It's the last time he will,for whom the bell tolls,ride the lightning,metallica,heavy metal
"Blackened roar, massive roar, fills the crumbling sky",for whom the bell tolls,ride the lightning,metallica,heavy metal
Shattered goal fills his soul with a ruthless cry,for whom the bell tolls,ride the lightning,metallica,heavy metal
Stranger now are his eyes to this mystery,for whom the bell tolls,ride the lightning,metallica,heavy metal
He hears the silence so loud,for whom the bell tolls,ride the lightning,metallica,heavy metal
"Crack of dawn, all is gone except the will to be",for whom the bell tolls,ride the lightning,metallica,heavy metal
"Now they see, what will be, blinded eyes to see",for whom the bell tolls,ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls,ride the lightning,metallica,heavy metal
Time marches on,for whom the bell tolls,ride the lightning,metallica,heavy metal
For whom the bell tolls,for whom the bell tolls,ride the lightning,metallica,heavy metal
Life it seems will fade away,fade to black,ride the lightning,metallica,heavy metal
Drifting further every day,fade to black,ride the lightning,metallica,heavy metal
Getting lost within myself,fade to black,ride the lightning,metallica,heavy metal
"Nothing matters, no one else",fade to black,ride the lightning,metallica,heavy metal
I have lost the will to live,fade to black,ride the lightning,metallica,heavy metal
Simply nothing more to give,fade to black,ride the lightning,metallica,heavy metal
There is nothing more for me,fade to black,ride the lightning,metallica,heavy metal
Need the end to set me free,fade to black,ride the lightning,metallica,heavy metal
Things not what they used to be,fade to black,ride the lightning,metallica,heavy metal
Missing one inside of me,fade to black,ride the lightning,metallica,heavy metal
"Deathly loss, this can't be real",fade to black,ride the lightning,metallica,heavy metal
Cannot stand this hell I feel,fade to black,ride the lightning,metallica,heavy metal
Emptiness is filling me,fade to black,ride the lightning,metallica,heavy metal
To the point of agony,fade to black,ride the lightning,metallica,heavy metal
Growing darkness taking dawn,fade to black,ride the lightning,metallica,heavy metal
I was me but now he's gone,fade to black,ride the lightning,metallica,heavy metal
No one but me can save myself but it's too late,fade to black,ride the lightning,metallica,heavy metal
"Now I can't think, think why I should even try",fade to black,ride the lightning,metallica,heavy metal
Yesterday seems as though it never existed,fade to black,ride the lightning,metallica,heavy metal
"Death greets me warm, now I will just say goodbye",fade to black,ride the lightning,metallica,heavy metal
Goodbye,fade to black,ride the lightning,metallica,heavy metal
I don't know how to live through this hell,trapped under ice,ride the lightning,metallica,heavy metal
"Woken up, I'm still locked in this shell",trapped under ice,ride the lightning,metallica,heavy metal
"Frozen soul, frozen down to the core",trapped under ice,ride the lightning,metallica,heavy metal
"Break the ice, I can't take anymore",trapped under ice,ride the lightning,metallica,heavy metal
"Freezing, can't move at all",trapped under ice,ride the lightning,metallica,heavy metal
"Screaming, can't hear my call",trapped under ice,ride the lightning,metallica,heavy metal
I am dying to live,trapped under ice,ride the lightning,metallica,heavy metal
"Cry out, ""I'm trapped under ice""",trapped under ice,ride the lightning,metallica,heavy metal
"Crystallized, as I lay here and rest",trapped under ice,ride the lightning,metallica,heavy metal
Eyes of glass stare directly at death,trapped under ice,ride the lightning,metallica,heavy metal
From deep sleep I have broken away,trapped under ice,ride the lightning,metallica,heavy metal
"No one knows, no one hears what I say",trapped under ice,ride the lightning,metallica,heavy metal
"Freezing, can't move at all",trapped under ice,ride the lightning,metallica,heavy metal
"Screaming, can't hear my call",trapped under ice,ride the lightning,metallica,heavy metal
I am dying to live,trapped under ice,ride the lightning,metallica,heavy metal
"Cry out, ""I'm trapped under ice""",trapped under ice,ride the lightning,metallica,heavy metal
Scream from my soul,trapped under ice,ride the lightning,metallica,heavy metal
Fate mystified,trapped under ice,ride the lightning,metallica,heavy metal
Hell forever more,trapped under ice,ride the lightning,metallica,heavy metal
Scream from my soul,trapped under ice,ride the lightning,metallica,heavy metal
Fate mystified,trapped under ice,ride the lightning,metallica,heavy metal
Hell forever more,trapped under ice,ride the lightning,metallica,heavy metal
No release from my cryonic state,trapped under ice,ride the lightning,metallica,heavy metal
What is this? I've been stricken by fate,trapped under ice,ride the lightning,metallica,heavy metal
"Wrapped up tight, cannot move, can't break free",trapped under ice,ride the lightning,metallica,heavy metal
Hand of doom has a tight grip on me,trapped under ice,ride the lightning,metallica,heavy metal
"Freezing, can't move at all",trapped under ice,ride the lightning,metallica,heavy metal
"Screaming, can't hear my call",trapped under ice,ride the lightning,metallica,heavy metal
I am dying to live,trapped under ice,ride the lightning,metallica,heavy metal
"Cry out, ""I'm trapped under ice""",trapped under ice,ride the lightning,metallica,heavy metal
"Freezing, can't move at all",trapped under ice,ride the lightning,metallica,heavy metal
"Screaming, can't hear my call",trapped under ice,ride the lightning,metallica,heavy metal
I am dying to live,trapped under ice,ride the lightning,metallica,heavy metal
"Cry out, ""I'm trapped under ice""",trapped under ice,ride the lightning,metallica,heavy metal
"Feel no pain, but my life ain't easy",escape,ride the lightning,metallica,heavy metal
I know I'm my best friend,escape,ride the lightning,metallica,heavy metal
"No one cares, but I'm so much stronger",escape,ride the lightning,metallica,heavy metal
I'll fight until the end,escape,ride the lightning,metallica,heavy metal
To escape from the true false world,escape,ride the lightning,metallica,heavy metal
Undamaged destiny,escape,ride the lightning,metallica,heavy metal
Can't get caught in the endless circle,escape,ride the lightning,metallica,heavy metal
Ring of stupidity,escape,ride the lightning,metallica,heavy metal
"Out for my own, out to be free",escape,ride the lightning,metallica,heavy metal
"One with my mind, they just can't see",escape,ride the lightning,metallica,heavy metal
No need to hear things that they say,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
Rape my mind and destroy my feelings,escape,ride the lightning,metallica,heavy metal
Don't tell me what to do,escape,ride the lightning,metallica,heavy metal
I don't care now 'cause I'm on my side,escape,ride the lightning,metallica,heavy metal
And I can see through you,escape,ride the lightning,metallica,heavy metal
Feed my brain with your so called standards,escape,ride the lightning,metallica,heavy metal
Who says that I ain't right,escape,ride the lightning,metallica,heavy metal
Break away from your common fashion,escape,ride the lightning,metallica,heavy metal
See through your blurry sight,escape,ride the lightning,metallica,heavy metal
"Out for my own, out to be free",escape,ride the lightning,metallica,heavy metal
"One with my mind, they just can't see",escape,ride the lightning,metallica,heavy metal
No need to hear things that they say,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
See them try to bring the hammer down,escape,ride the lightning,metallica,heavy metal
No damn chains can hold me to the ground,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
Life's for my own to live my own way,escape,ride the lightning,metallica,heavy metal
