lyrics,song,album,artist,genre
"Here I come Stand up, plant your feet Listen, I'm letting off steam Now throw your hands in the air Let it loose, I don't fucking care  Rattlehead  A dose of metal you need To bang your head till you bleed It's time for snapping some neck Slashing, thrashing to Megadeth  Rattlehead  You, your head is pounding with pain You shake loose parts of your brain Winning, sinning, beginning Feeding, the needing for bleeding Bashing, smashing, crashing Frying, annihilating you!  There's someone back in the shadows You can't see his eyes He'll bash your head if you cross him Ain't quite your average guy Don't wear no leather to ""fit in"" Don't wear no spikes to be ""cool"" Don't want no woman beside him Just make it fast, loud and rude  Rattlehead  I'm a rattlehead Rattle your goddamn head!",rattlehead,warheads on foreheads,megadeth,heavy metal
"Imagine you were at my station And you brought your motor to me You're a burner, yeah, a real motor car  Said you want to get your order filled Made me shiver when I put it in Pumping just won't do, ya know, luckily for you  Whoever thought you'd be better At turning a screw than me, I do it for my life Made my drive shaft crank, made my pistons bulge Made my ball bearings melt from the heat  We were shifting hard when we took off Put tonight all four on the floor When we hit top end, you know it feels so slow  Said you want to get your order filled Made me shiver when I put it in Pumping just won't do, ya know, luckily for you  Whoever thought you'd be better At turning a screw than me, I do it for my life Made my drive shaft crank, made my pistons bulge Made my ball bearings melt from the heat  I'm giving you my room service And you know it's more than enough Oh, one more time, you know I'm in love  Said you want to get your order filled Made me shiver when I put it in Pumping just won't do, ya know, luckily for you  Whoever thought you'd be better At turning a screw than me, I do it for my life, fuck yeah Made my drive shaft crank, made my pistons bulge Made my ball bearings melt from the heat, oh yeah",mechanix,warheads on foreheads,megadeth,heavy metal
"I am a sniper Always hit the mark Paid assassin Working after dark  Looking through the night Using infra-red My target on you Aimed at your head  $10.000 up front $10.000 when I'm through And I know just what to do And ya know I'll do it too Then I'm coming back for you Back for you  I do the ""getting rid of"" Don't tell me why Don't need to hear the truth Don't need the lies Now pay me quickly And now we're through It brings me great pleasure To say my next job is you Don't you know that Killing is my business And business is good You'd better believe it",killing is my business...and business is good!,warheads on foreheads,megadeth,heavy metal
"Welcome to out sanguinary sect of worship Feel at home in our black conventicle As we anathematize all of those who oppose us  Don't summon the devil Don't call the priests If you need the strength The conjuring, obey  Behold the flames rise from the compasses' cardinal points Burn the sacred oil and, with the ashes, you'll anoint  Arrange the symbols of the wizard and magician Light the candles, place the parchment paper in position Between its leaves, place the lash from a black cat's eye A straw of a broom, fold and burn and centralize  Don't summon the devil And don't call the priests If you need the strength The conjuring  I am the devil's advocate, a salesman if you will You know my name You know my name  I met your father years ago, gave him what he'd please He called my name You'll do the same  I'm claiming what is mine by right, it's time to close the deal You're bought and sold Bought and sold  Come join me in my infernal depths, Mephisto's hall of fame I've got your soul I've got your soul  The conjuring Obey",the conjuring,warheads on foreheads,megadeth,heavy metal
"I sneak in my own house It's four in the morning I had too much to drink Said I was out with the boys  I creep in my bedroom I slip into bed I know if I wake her, I'll wake up dead  I wonder, will she find out About the other, other lover Diana  Wake up dead, you die Wake up dead, and buried Wake up dead, you die Wake up dead",wake up dead,warheads on foreheads,megadeth,heavy metal
,devils island,warheads on foreheads,megadeth,heavy metal
"Red flash clouds choking out the morning sky They said it'd never come, we knew it was a lie All forms of life die now, the humans all succumb Time to kiss your ass goodbye, the end has just begun  Distorted figures walk the street, it's 1999 Weeds once underneath your feet have grown to vines Bodies melted like a candle, a land without a face No time to change your fate, no time left, it's too late  The arsenal of Megadeth can't be rid, they said And if it comes, the living will envy the dead Racing for power and all come in last No winning, first stone cast This falsehood, worldly peace It's treaties soon will cease No one will be left to prove that humans existed Maybe soon the children will be born open-fisted We all live on one planet, it will all go up in smoke  Too bad they couldn't see this lethal energy And now the final scene, a global darkening  Dig deep the piles of rubble and ruins Towering overhead, both far and wide There's unknown tools for World War III Einstein said, ""We'll use rocks on the other side""  No survivors, set the world afire",set the world afire,warheads on foreheads,megadeth,heavy metal
"In my hour of need Ha! No, you're not there And though I reached out for you Wouldn't lend a hand Through the darkest hour Grace didn't shine on me It feels so cold Very cold, no one cares for me  Did you ever think I get lonely? Did you ever think that I needed love? Did you ever think to stop thinking? You're the only one that I'm thinking of  You'll never know How hard I tried To find my space and satisfy you too  Things will be better When I'm dead and gone Don't try to understand Knowing you  I'm probably wrong But, oh How I lived my life for you Still you'd turn away Now As I die for you My flesh still crawls as I breathe your name All these years I thought I was wrong Now I know it was you Raise your head Raise your face Your eyes, tell me who you think you are?  I walk I walk alone Into the promised land There's a better place for me But it's far, far away  Everlasting life for me In a perfect world But I gotta die first Please god send me on my way  Time has a way of taking time Loneliness is not only felt by fools Alone I call to ease the pain Yearning to be held by you, alone So alone, I'm lost consumed by the pain  The pain The pain The pain Won't you hold me again? And you just laughed, ha-ha! Bitch! My whole life is work built on the past But the time has come when all Things shall pass This good thing passed away",in my darkest hour,warheads on foreheads,megadeth,heavy metal
"Brother will kill brother, spilling blood across the land Killing for religion, something I don't understand Fools like me, who cross the sea and come to foreign lands Ask the sheep, for their beliefs, do you kill on God's command?  A country that's divided, surely will not stand My past erased, no more disgrace, no foolish naive stand The end is near, it's crystal clear, part of the master plan Don't look now to Israel, it might be your homelands Holy wars  Upon my podium, as the know-it-all scholar Down in my seat of judgment, gavel's bang, uphold the law Up on my soapbox, a leader out to change the world Down in my pulpit as the holier-than-thou could-be messenger of God  Wage the war on organized crime Sneak attacks, rappel down the rocks, behind the lines Some people risk to employ me Some people live to destroy me Either way they die They die  They killed my wife and my baby with hopes to enslave me First mistake, last mistake Paid by the alliance to slay all the giants Next mistake, no more mistakes  Fill the cracks in with judicial granite Because I don't say it don't mean I ain't thinkin' it Next thing you know, they'll take my thoughts away I know what I said, now I must scream of the overdose And the lack of mercy killings, mercy killings Mercy killings, killings, killings, killings Next thing you know, they'll take my thoughts away",holy wars...the punishment due,warheads on foreheads,megadeth,heavy metal
"You take a mortal man And put him in control Watch him become a god Watch peoples heads a'roll A'roll, a'roll  Just like the Pied Piper Led rats through the streets We dance like marionettes Swayin' to the symphony Of destruction  Actin' like a robot Its metal brain corrodes You try to take its pulse Before the head explodes Explodes, explodes  Just like the Pied Piper Led rats through the streets We dance like marionettes Swayin' to the symphony Just like the Pied Piper Led rats through the streets We dance like marionettes Swayin' to the symphony Swayin' to the symphony Of destruction  The earth starts to rumble World powers fall Oh warrin' for the heavens A peaceful man stands tall A'tall, a'tall  Just like the Pied Piper Led rats through the streets We dance like marionettes Swayin' to the symphony Just like the Pied Piper Led rats through the streets We dance like marionettes Swayin' to the symphony Swayin' to the symphony Of destruction",symphony of destruction,countdown to extinction,megadeth,heavy metal
"Born from the dark In the black cloak of night To envelop its prey below Deliver to the light To eliminate your enemy, hit them in their sleep And when all is won and lost, the spoils of wars are yours to keep Aw!  Great nations built from the bones of the dead with mud and straw Blood and sweat, you know your worth When your enemies praise your architecture of aggression Praise your architecture of aggression  Hoo! Ensuing power vacuum A toppled leader dies His body fuels the power Fire and the flames rise to the sky One side of his face, a kiss, the other genocide Time to pay With your ass, a worldwide suicide  Great nations built from the bones of the dead with mud and straw Blood and sweat, you know your worth When your enemies praise your architecture of aggression  Born from the dark In the black cloak of night To envelop its prey below Deliver to the light To eliminate your enemy Hit them in their sleep And when all is won and lost, the spoils of war are yours to keep  Great nations built from the bones of the dead with mud and straw Blood and sweat, you know your worth When your enemies praise your architecture of aggression  Great nations built from the bones of the dead with mud and straw Blood and sweat, you know your worth When your enemies praise your architecture of aggression",architecture of aggression,countdown to extinction,megadeth,heavy metal
